heuristic,machines,tasks,makespan,time_nano,iterations,param
LocalSearchBest,50,2500,61322,504426,738,
LocalSearchBest,50,2500,61814,502052,735,
LocalSearchBest,50,2500,62876,509375,746,
LocalSearchBest,50,2500,62033,504656,741,
LocalSearchBest,50,2500,61368,509235,741,
LocalSearchBest,50,2500,61016,499407,731,
LocalSearchBest,50,2500,61758,514104,756,
LocalSearchBest,50,2500,61039,501972,736,
LocalSearchBest,50,2500,61898,501070,732,
LocalSearchBest,50,2500,60998,499667,732,
LocalSearchBest,50,2500,61751,515677,745,
LocalSearchBest,50,2500,62060,508374,743,
LocalSearchBest,50,2500,60976,504827,734,
LocalSearchBest,50,2500,61051,498976,728,
LocalSearchBest,50,2500,61728,525816,743,
LocalSearchBest,50,2500,61566,501039,735,
LocalSearchBest,50,2500,62312,526397,741,
LocalSearchBest,50,2500,60614,506169,743,
LocalSearchBest,50,2500,60940,503855,737,
LocalSearchBest,50,2500,61732,501721,734,
LocalSearchBest,50,2500,61477,509326,747,
LocalSearchBest,50,2500,62143,509185,748,
LocalSearchBest,50,2500,60797,508764,736,
LocalSearchBest,50,2500,61086,502221,732,
LocalSearchBest,50,2500,62688,516208,754,
LocalSearchBest,50,2500,62597,505788,742,
LocalSearchBest,50,2500,63198,525115,756,
LocalSearchBest,50,2500,62040,502632,735,
LocalSearchBest,50,2500,63029,516508,751,
LocalSearchBest,50,2500,62211,511279,750,
LocalSearchBest,50,2500,61251,505007,739,
LocalSearchBest,50,2500,60485,501281,733,
LocalSearchBest,50,2500,63023,512942,750,
LocalSearchBest,50,2500,61319,506159,742,
LocalSearchBest,50,2500,61934,510979,742,
LocalSearchBest,50,2500,61675,500579,733,
LocalSearchBest,50,2500,61308,509646,738,
LocalSearchBest,50,2500,61543,504296,738,
LocalSearchBest,50,2500,61071,500659,728,
LocalSearchBest,50,2500,61202,499076,737,
LocalSearchBest,50,2500,61819,505869,742,
LocalSearchBest,50,2500,60522,502903,735,
LocalSearchBest,50,2500,62263,524213,747,
LocalSearchBest,50,2500,62815,526408,751,
LocalSearchBest,50,2500,61965,500469,736,
LocalSearchBest,50,2500,61292,497894,733,
LocalSearchBest,50,2500,61649,549461,743,
LocalSearchBest,50,2500,61632,503154,742,
LocalSearchBest,50,2500,62210,502803,740,
LocalSearchBest,50,2500,62472,513653,751,
LocalSearchBest,50,2500,61683,508403,745,
LocalSearchBest,50,2500,63362,517660,760,
LocalSearchBest,50,2500,60925,505508,738,
LocalSearchBest,50,2500,62445,506490,746,
LocalSearchBest,50,2500,61522,504667,738,
LocalSearchBest,50,2500,62973,511700,752,
LocalSearchBest,50,2500,63630,513293,752,
LocalSearchBest,50,2500,62513,509275,749,
LocalSearchBest,50,2500,62045,501380,734,
LocalSearchBest,50,2500,61844,504747,745,
LocalSearchBest,50,2500,60919,521938,734,
LocalSearchBest,50,2500,60456,500298,733,
LocalSearchBest,50,2500,61399,502091,739,
LocalSearchBest,50,2500,62012,498544,737,
LocalSearchBest,50,2500,62327,505668,740,
LocalSearchBest,50,2500,62949,511289,748,
LocalSearchBest,50,2500,61085,501390,732,
LocalSearchBest,50,2500,62084,508243,746,
LocalSearchBest,50,2500,61925,508023,745,
LocalSearchBest,50,2500,60971,497584,736,
LocalSearchBest,50,2500,61802,513023,751,
LocalSearchBest,50,2500,62055,504646,740,
SimulatedAnnealing,10,32,169,7064,34,0.80
SimulatedAnnealing,10,32,195,3156,34,0.80
SimulatedAnnealing,10,32,190,2885,34,0.80
SimulatedAnnealing,10,32,172,2745,34,0.80
SimulatedAnnealing,10,32,196,4068,34,0.80
SimulatedAnnealing,10,32,158,2925,34,0.80
SimulatedAnnealing,10,32,153,3106,34,0.80
SimulatedAnnealing,10,32,220,3026,34,0.80
SimulatedAnnealing,10,32,171,2885,34,0.80
SimulatedAnnealing,10,32,183,3987,34,0.80
SimulatedAnnealing,10,32,181,2725,34,0.80
SimulatedAnnealing,10,32,178,3968,34,0.80
SimulatedAnnealing,10,32,162,2775,34,0.80
SimulatedAnnealing,10,32,208,2835,34,0.80
SimulatedAnnealing,10,32,188,2936,34,0.80
SimulatedAnnealing,10,32,176,2645,34,0.80
SimulatedAnnealing,10,32,234,4278,34,0.80
SimulatedAnnealing,10,32,196,2725,34,0.80
SimulatedAnnealing,10,32,179,2725,34,0.80
SimulatedAnnealing,10,32,230,2805,34,0.80
SimulatedAnnealing,10,32,174,2725,34,0.80
SimulatedAnnealing,10,32,202,4368,34,0.80
SimulatedAnnealing,10,32,179,2695,34,0.80
SimulatedAnnealing,10,32,211,2896,34,0.80
SimulatedAnnealing,10,32,208,2745,34,0.80
SimulatedAnnealing,10,32,178,2615,34,0.80
